ID JCDECAUX,Marques,Année,Reftest,Nom_fichier_visuel,FAMILLE,CLASSE,Nombre de visuels,Type de campagne,Couleur dominante,Couleur propre à la marque ? ,1er point d'accroche,Personnages,Si Egérie : est-elle propre à la marque ou également sur d'autres marques ? ,Utilisation de l'égérie dans le temps,Genre,Tranche d'âge,Quantité/Place du texte dans le visuel,Discours utilisé,"Style de texte 
(Lettres)",Taille du logo,Eléments de branding,Présence d'un QR Code,Langue du claim,Contraste,Place du logo,Notoriété (base YouGov),Mise en avant prix,Charge visuelle,image_path
,WOODFORD RESERVE,2019.0,2220751917.0,2220751917 WOODFORD,BOISSONS,BOISSONS ALCOOLISEES,1.0,Produit,Marron,Dominante,Produit/Service,-,-,-,-,-,Moyen ,Explicatif/Narratif,Majuscule gras,Moyen,Moyen,Non,Français,Un peu contrasté,Haut milieu,-,Aucun,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220751917 WOODFORD.jpg
1975.0,DSINEYLAND,2019.0,2220721902.0,2220721902 Disneyland-manoir,TOURISME,PARCS ET LOISIRS,3.0,Branding,Orange,Non ,Claim,-,Uniquement pour la marque,Déjà utilisée,-,-,Fort,Humoristique,Majuscule gras,Moyen,Peu,Non,Français,Un peu contrasté,Bas droit,0.89,Aucun,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220721902 Disneyland-manoir.jpg
1973.0,MCDONALD'S,2019.0,2220721904.0,2220721904 McDONALDS,RESTAURATION,RESTAURATION RAPIDE,1.0,Offre,Bleu,Non ,Produit/Service,Mascotte,Sur d'autres marques,Déjà utilisée,-,-,Moyen ,Descriptif,Majuscule gras,Moyen,Peu,Non,Français,Un peu contrasté,Haut droit,0.94,Aucun,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220721904 McDONALDS.jpg
1973.0,MCDONALD'S,2019.0,2220721904.0,2220721904 McDONALDS-ECRAN-1-copie,RESTAURATION,RESTAURATION RAPIDE,1.0,Offre,Bleu,Non ,Produit/Service,Mascotte,Sur d'autres marques,Déjà utilisée,-,-,Moyen ,Descriptif,Majuscule gras,Moyen,Peu,Non,Français,Un peu contrasté,Haut droit,0.94,Aucun,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220721904 McDONALDS-ECRAN-1-copie.jpg
1973.0,MCDONALD'S,2019.0,2220721904.0,2220721904 McDONALDS-MONOPOLY-1-copie,RESTAURATION,RESTAURATION RAPIDE,1.0,Branding,Bleu,Non ,Personnage,Mascotte,Sur d'autres marques,Déjà utilisée,-,-,Moyen ,Descriptif,Majuscule gras,Moyen,Peu,Non,Français,Un peu contrasté,Bas milieu,0.94,Aucun,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220721904 McDONALDS-MONOPOLY-1-copie.jpg
1940.0,PACO RABANNE,2019.0,2220721920.0,2220721920 Paco-Rabanne-femme,HYGIENE_BEAUTE,PARFUMS,2.0,Produit,Noir,Présente,Personnage,Personne seule,-,-,Homme,Jeune adulte,Faible,Descriptif,Minuscule gras,Grand,Beaucoup,Non,Français,Pas contrasté,Bas milieu,-,Aucun,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220721920 Paco-Rabanne-femme.jpg
1940.0,PACO RABANNE,2019.0,2220721920.0,2220721920 Paco-Rabanne-femme,HYGIENE_BEAUTE,PARFUMS,2.0,Produit,Noir,Présente,Personnage,Personne seule,-,-,Femme,Jeune adulte,Faible,Descriptif,Minuscule gras,Grand,Beaucoup,Non,Français,Pas contrasté,Bas milieu,-,Aucun,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220721920 Paco-Rabanne-femme.jpg
1966.0,BMW,2019.0,2220691901.0,2220691901 JCD_BMW_01,AUTOMOBILE_TRANSPORT,AUTOMOBILES POIDS LOURDS,2.0,Produit,Bleu,Dominante,Produit/Service,Personne seule,-,-,Homme,Adulte,Faible,Descriptif,Majuscule gras,Petit,Moyen,Non,Anglais,Un peu contrasté,Haut droit,0.9,Aucun,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220691901 JCD_BMW_01.jpg
1966.0,BMW,2019.0,2220691901.0,2220691901 JCD_BMW_01,AUTOMOBILE_TRANSPORT,AUTOMOBILES POIDS LOURDS,2.0,Produit,Bleu,Dominante,Produit/Service,Personne seule,-,-,Homme,Adulte,Faible,Descriptif,Majuscule gras,Petit,Moyen,Non,Anglais,Un peu contrasté,Haut droit,0.9,Aucun,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220691901 JCD_BMW_01.jpg
1911.0,BUT,2019.0,2220671906.0,2220671906 000_4x3,DISTRIBUTION,DISTRIBUTION SPECIALISEE,2.0,Offre,Blanc,Présente,,-,-,-,-,-,Moyen ,Explicatif/Narratif,Majuscule gras,Grand,Peu,Non,Français,Un peu contrasté,Bas droit,0.89,Promotion indiquée,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220671906 000_4x3.jpg
1911.0,BUT,2019.0,2220671906.0,2220671906 000_abribus2,DISTRIBUTION,DISTRIBUTION SPECIALISEE,2.0,Offre,Blanc,Présente,Produit/Service,-,-,-,-,-,Moyen ,Explicatif/Narratif,Majuscule gras,Grand,Peu,Non,Français,Un peu contrasté,Bas droit,0.89,Aucun,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220671906 000_abribus2.jpg
1972.0,PEUGEOT,2019.0,2220711905.0,2220711905 Peugeot-1,AUTOMOBILE_TRANSPORT,AUTOMOBILES POIDS LOURDS,5.0,Produit,Noir,Dominante,Produit/Service,Personne seule,-,-,Les 2,Jeune adulte,Moyen ,Explicatif/Narratif,Majuscule gras,Moyen,Beaucoup,Non,Français,Un peu contrasté,Haut droit,0.95,Aucun,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220711905 Peugeot-1.jpg
1972.0,PEUGEOT,2019.0,2220711905.0,2220711905 Peugeot-1,AUTOMOBILE_TRANSPORT,AUTOMOBILES POIDS LOURDS,5.0,Produit,Noir,Dominante,Produit/Service,Personne seule,-,-,Les 2,Jeune adulte,Moyen ,Explicatif/Narratif,Majuscule gras,Moyen,Beaucoup,Non,Français,Un peu contrasté,Haut droit,0.95,Aucun,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220711905 Peugeot-1.jpg
1972.0,PEUGEOT,2019.0,2220711905.0,2220711905 Peugeot-1,AUTOMOBILE_TRANSPORT,AUTOMOBILES POIDS LOURDS,5.0,Produit,Noir,Dominante,Produit/Service,Personne seule,-,-,Les 2,Jeune adulte,Moyen ,Explicatif/Narratif,Majuscule gras,Moyen,Beaucoup,Non,Français,Un peu contrasté,Haut droit,0.95,Aucun,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220711905 Peugeot-1.jpg
1972.0,PEUGEOT,2019.0,2220711905.0,2220711905 Peugeot-1,AUTOMOBILE_TRANSPORT,AUTOMOBILES POIDS LOURDS,5.0,Produit,Noir,Dominante,Produit/Service,Personne seule,-,-,Les 2,Jeune adulte,Moyen ,Explicatif/Narratif,Majuscule gras,Moyen,Beaucoup,Non,Français,Un peu contrasté,Haut droit,0.95,Aucun,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220711905 Peugeot-1.jpg
1972.0,PEUGEOT,2019.0,2220711905.0,2220711905 Peugeot-1,AUTOMOBILE_TRANSPORT,AUTOMOBILES POIDS LOURDS,5.0,Produit,Noir,Dominante,Produit/Service,Personne seule,-,-,Les 2,Jeune adulte,Moyen ,Explicatif/Narratif,Majuscule gras,Moyen,Beaucoup,Non,Français,Un peu contrasté,Haut droit,0.95,Aucun,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220711905 Peugeot-1.jpg
1972.0,PEUGEOT,2019.0,2220711905.0,2220711905 Peugeot-1,AUTOMOBILE_TRANSPORT,AUTOMOBILES POIDS LOURDS,5.0,Produit,Noir,Dominante,Produit/Service,Personne seule,-,-,Les 2,Jeune adulte,Moyen ,Explicatif/Narratif,Majuscule gras,Moyen,Beaucoup,Non,Français,Un peu contrasté,Haut droit,0.95,Aucun,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220711905 Peugeot-1.jpg
1959.0,BUT,2019.0,2220641901.0,2220641901 BUT-ASPI,DISTRIBUTION,DISTRIBUTION SPECIALISEE,3.0,Offre,Blanc,Dominante,Promotion,-,-,-,-,-,Fort,Descriptif,Majuscule gras,Grand,Peu,Non,Français,Un peu contrasté,Bas droit,0.89,Promotion indiquée,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220641901 BUT-ASPI.jpg
1959.0,BUT,2019.0,2220641901.0,2220641901 BUT-ASPI,DISTRIBUTION,DISTRIBUTION SPECIALISEE,3.0,Offre,Blanc,Dominante,Promotion,-,-,-,-,-,Fort,Descriptif,Majuscule gras,Grand,Peu,Non,Français,Un peu contrasté,Bas droit,0.89,Promotion indiquée,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220641901 BUT-ASPI.jpg
1959.0,BUT,2019.0,2220641901.0,2220641901 BUT-ASPI,DISTRIBUTION,DISTRIBUTION SPECIALISEE,3.0,Offre,Blanc,Dominante,Promotion,-,-,-,-,-,Fort,Descriptif,Majuscule gras,Grand,Peu,Non,Français,Un peu contrasté,Bas droit,0.89,Promotion indiquée,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220641901 BUT-ASPI.jpg
2176.0,CREDIT AGRICOLE,2019.0,2220651906.0,2220651906 CREDIT-AGRICOLE-Apprentis-copie,ETS_FINANCIERS_ASSURANCES,BANQUES DE DETAIL,4.0,Service,Bleu,Dominante,Personnage,Personne seule,-,-,Femme,Jeune adulte,Fort,Explicatif/Narratif,Majuscule gras,Moyen,Peu,Non,Français,Un peu contrasté,Haut gauche,0.9,Aucun,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220651906 CREDIT-AGRICOLE-Apprentis-copie.jpg
2176.0,CREDIT AGRICOLE,2019.0,2220651906.0,2220651906 CREDIT-AGRICOLE-Apprentis-copie,ETS_FINANCIERS_ASSURANCES,BANQUES DE DETAIL,4.0,Service,Bleu,Dominante,Personnage,Personne seule,-,-,Femme,Jeune adulte,Fort,Explicatif/Narratif,Majuscule gras,Moyen,Peu,Non,Français,Un peu contrasté,Haut gauche,0.9,Aucun,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220651906 CREDIT-AGRICOLE-Apprentis-copie.jpg
2176.0,CREDIT AGRICOLE,2019.0,2220651906.0,2220651906 CREDIT-AGRICOLE-Etudes-copie,ETS_FINANCIERS_ASSURANCES,BANQUES DE DETAIL,4.0,Service,Vert,Dominante,Personnage,Personne seule,-,-,Femme,Jeune adulte,Fort,Explicatif/Narratif,Majuscule gras,Moyen,Peu,Non,Français,Un peu contrasté,Haut gauche,0.9,Aucun,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220651906 CREDIT-AGRICOLE-Etudes-copie.jpg
1958.0,FREE,2019.0,2220621906.0,2220621906 FREE-demo-copie,TELECOMMUNICATIONS,OPERATEURS TELECOMMUNIC.,3.0,Offre,Blanc,Dominante,Claim,-,-,-,-,-,Fort,Explicatif/Narratif,Minuscule gras,Moyen,Peu,Non,Français,Un peu contrasté,Bas milieu,0.9,Promotion indiquée,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220621906 FREE-demo-copie.jpg
1957.0,PULCO,2019.0,2220621907.0,2220621907 PULCO-1-copie,BOISSONS,BOISSONS NON ALCOOLISEES,1.0,Produit,Jaune,Dominante,Claim,-,-,-,-,-,Moyen ,Humoristique,Minuscule sans gras,Moyen,Moyen,Non,Français,Un peu contrasté,Bas droit,0.84,Aucun,Faible (3 éléments),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220621907 PULCO-1-copie.jpg
1954.0,PERLINO,2019.0,2220601918.0,2220601918 perlino,BOISSONS,BOISSONS ALCOOLISEES,1.0,Produit,Orange,Dominante,Packshot,-,-,-,-,-,Faible,Explicatif/Narratif,Minuscule sans gras ,Grand,Moyen,Non,Autre,Un peu contrasté,Haut milieu,-,Aucun,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220601918 perlino.jpg
1952.0,ORANGINA,2019.0,2220581914.0,2220581914 ORANGINA-boit,BOISSONS,BOISSONS NON ALCOOLISEES,5.0,Produit,Bleu,Dominante,Produit/Service,-,-,-,-,-,,,,Moyen,Moyen,Non,,Très contrasté,Dans le corps du visuel,0.9,Aucun,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220581914 ORANGINA-boit.jpg
1952.0,ORANGINA,2019.0,2220581914.0,2220581914 ORANGINA-boit,BOISSONS,BOISSONS NON ALCOOLISEES,5.0,Produit,Jaune,Dominante,Produit/Service,-,-,-,-,-,Faible,Humoristique,Minuscule gras,Moyen,Moyen,Non,Français,Très contrasté,Dans le corps du visuel,0.9,Aucun,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220581914 ORANGINA-boit.jpg
1952.0,ORANGINA,2019.0,2220581914.0,2220581914 ORANGINA-jaune,BOISSONS,BOISSONS NON ALCOOLISEES,5.0,Produit,Bleu,Dominante,Produit/Service,-,-,-,-,-,Moyen ,Humoristique,Minuscule gras,Moyen,Moyen,Non,Français,Très contrasté,Dans le corps du visuel,0.9,Aucun,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220581914 ORANGINA-jaune.jpg
1952.0,ORANGINA,2019.0,2220581914.0,2220581914 ORANGINA-monde,BOISSONS,BOISSONS NON ALCOOLISEES,5.0,Produit,Bleu,Dominante,Produit/Service,-,-,-,-,-,Faible,Humoristique,Minuscule gras,Moyen,Moyen,Non,Français,Très contrasté,Dans le corps du visuel,0.9,Aucun,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220581914 ORANGINA-monde.jpg
1952.0,ORANGINA,2019.0,2220581914.0,2220581914 ORANGINA-oranges,BOISSONS,BOISSONS NON ALCOOLISEES,5.0,Produit,Bleu,Dominante,Produit/Service,-,-,-,-,-,Faible,Humoristique,Minuscule gras,Moyen,Moyen,Non,Français,Très contrasté,Dans le corps du visuel,0.9,Aucun,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220581914 ORANGINA-oranges.jpg
1951.0,SEPHORA,2019.0,2220581929.0,2220581929 CAROLINA-HERRERA-1,DISTRIBUTION,DISTRIBUTION SPECIALISEE,2.0,Produit,Noir,Dominante,Produit/Service,,Uniquement pour la marque,1ère utilisation ,Femme,Jeune adulte,Moyen ,Descriptif,Majuscule gras,Grand,Moyen,Non,Anglais,Un peu contrasté,Bas droit,0.87,Aucun,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220581929 CAROLINA-HERRERA-1.jpg
1951.0,SEPHORA,2019.0,2220581929.0,2220581929 CAROLINA-HERRERA-2-copie,DISTRIBUTION,DISTRIBUTION SPECIALISEE,2.0,Produit,Noir,Dominante,Produit/Service,-,-,-,-,-,Faible,Descriptif,Majuscule gras,Grand,Moyen,Non,Anglais,Un peu contrasté,Bas droit,0.87,Aucun,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220581929 CAROLINA-HERRERA-2-copie.jpg
1948.0,BUT,2019.0,2220571901.0,2220571901 BUT-GF-1-copie,DISTRIBUTION,DISTRIBUTION SPECIALISEE,8.0,Offre,Blanc,Dominante,Promotion,-,-,-,-,-,Fort,Explicatif/Narratif,Majuscule gras,Grand,Peu,Non,Français,Un peu contrasté,Bas droit,0.89,Promotion indiquée,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220571901 BUT-GF-1-copie.jpg
1948.0,BUT,2019.0,2220571901.0,2220571901 BUT-GF-1-copie,DISTRIBUTION,DISTRIBUTION SPECIALISEE,8.0,Offre,Blanc,Dominante,Promotion,-,-,-,-,-,Fort,Explicatif/Narratif,Majuscule gras,Grand,Peu,Non,Français,Un peu contrasté,Bas droit,0.89,Promotion indiquée,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220571901 BUT-GF-1-copie.jpg
1948.0,BUT,2019.0,2220571901.0,2220571901 BUT-GF-1-copie,DISTRIBUTION,DISTRIBUTION SPECIALISEE,8.0,Offre,Blanc,Dominante,Promotion,-,-,-,-,-,Fort,Explicatif/Narratif,Majuscule gras,Grand,Peu,Non,Français,Un peu contrasté,Bas droit,0.89,Promotion indiquée,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220571901 BUT-GF-1-copie.jpg
1948.0,BUT,2019.0,2220571901.0,2220571901 BUT-GF-1-copie,DISTRIBUTION,DISTRIBUTION SPECIALISEE,8.0,Offre,Blanc,Dominante,Promotion,-,-,-,-,-,Fort,Explicatif/Narratif,Majuscule gras,Grand,Peu,Non,Français,Un peu contrasté,Bas droit,0.89,Promotion indiquée,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220571901 BUT-GF-1-copie.jpg
1948.0,BUT,2019.0,2220571901.0,2220571901 BUT-GF-1-copie,DISTRIBUTION,DISTRIBUTION SPECIALISEE,8.0,Offre,Blanc,Dominante,Promotion,-,-,-,-,-,Fort,Explicatif/Narratif,Majuscule gras,Grand,Peu,Non,Français,Un peu contrasté,Bas droit,0.89,Promotion indiquée,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220571901 BUT-GF-1-copie.jpg
1948.0,BUT,2019.0,2220571901.0,2220571901 BUT-GF-1-copie,DISTRIBUTION,DISTRIBUTION SPECIALISEE,8.0,Offre,Blanc,Dominante,Promotion,-,-,-,-,-,Fort,Explicatif/Narratif,Majuscule gras,Grand,Peu,Non,Français,Un peu contrasté,Bas droit,0.89,Promotion indiquée,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220571901 BUT-GF-1-copie.jpg
1948.0,BUT,2019.0,2220571901.0,2220571901 BUT-GF-1-copie,DISTRIBUTION,DISTRIBUTION SPECIALISEE,8.0,Offre,Blanc,Dominante,Promotion,-,-,-,-,-,Fort,Explicatif/Narratif,Majuscule gras,Grand,Peu,Non,Français,Un peu contrasté,Bas droit,0.89,Promotion indiquée,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220571901 BUT-GF-1-copie.jpg
1948.0,BUT,2019.0,2220571901.0,2220571901 BUT-GF-1-copie,DISTRIBUTION,DISTRIBUTION SPECIALISEE,8.0,Offre,Blanc,Dominante,Promotion,-,-,-,-,-,Fort,Explicatif/Narratif,Majuscule gras,Grand,Peu,Non,Français,Un peu contrasté,Bas droit,0.89,Promotion indiquée,Elevée (plus de 6),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220571901 BUT-GF-1-copie.jpg
1946.0,NESTLE,2019.0,2220561908.0,2220561908 EXTREME-caramel,ALIMENTATION,SURGELES ET GLACES,4.0,Produit,Marron,Dominante,Produit/Service,-,-,-,-,-,Faible,Explicatif/Narratif,Majuscule gras,Grand,Peu,Non,Français,Un peu contrasté,Haut gauche,-,Aucun,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220561908 EXTREME-caramel.jpg
1946.0,NESTLE,2019.0,2220561908.0,2220561908 EXTREME-citron,ALIMENTATION,SURGELES ET GLACES,4.0,Produit,Rose,Présente,Produit/Service,-,-,-,-,-,Faible,Explicatif/Narratif,Majuscule gras,Grand,Peu,Non,Français,Un peu contrasté,Haut gauche,-,Aucun,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220561908 EXTREME-citron.jpg
1946.0,NESTLE,2019.0,2220561908.0,2220561908 EXTREME-mojito,ALIMENTATION,SURGELES ET GLACES,4.0,Produit,Vert,Présente,Produit/Service,-,-,-,-,-,Faible,Explicatif/Narratif,Majuscule gras,Grand,Peu,Non,Français,Un peu contrasté,Haut gauche,-,Aucun,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220561908 EXTREME-mojito.jpg
1945.0,POLIAKOV,2019.0,2220561912.0,2220561912 POLIAKOV-aigle-PF-copie,BOISSONS,BOISSONS ALCOOLISEES,2.0,Produit,Bleu,Dominante,Produit/Service,-,-,-,-,-,Faible,Explicatif/Narratif,Majuscule gras,Grand,Moyen,Non,Anglais,Pas contrasté,Haut milieu,-,Aucun,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220561912 POLIAKOV-aigle-PF-copie.jpg
1945.0,POLIAKOV,2019.0,2220561912.0,2220561912 POLIAKOV-aigle-PF-copie,BOISSONS,BOISSONS ALCOOLISEES,3.0,Produit,Bleu,Dominante,Produit/Service,-,-,-,-,-,Faible,Explicatif/Narratif,Majuscule gras,Grand,Moyen,Non,Anglais,Pas contrasté,Haut milieu,-,Aucun,Moyen (4-5),C:\Users\aittayeb\Desktop\Projet_memoir\Visuale\2220561912 POLIAKOV-aigle-PF-copie.jpg
